Session_ID,breakout,title,description,startDate,startTime,endTime,industries,location,products,role,skillLevel,solutions,speakers,track,type
165,19,Beyond SplunkWeb: How Alcatel-Lucent Used the Splunk SDK to Build an Integrated Reporting Platform,"The way we watch TV and video is undergoing a revolution. Alcatel-Lucent's Velocix CDN helps many of the world's tier 1 telcos and media providers address the challenges that this revolution brings, allowing them to offer video services on any device, anywhere.
So when Alcatel-Lucent wanted to refresh the Velocix CDN reporting system, they took the path less travelled.  By using the Splunk SDK to build a fully integrated product that put the power of Splunk directly into a bespoke UI. Learn about the challenges and benefits of leaving the SplunkWeb UI behind and how the Alcatel-Lucent team built a fully integrated product to be deployed at scale.",2015-09-24,Unknown,2015-09-24 15:00,Communications,Unknown,Splunk Enterprise,Developer;;Administrator,Good for All Skill Levels,Unknown,"Rory Blake - Senior Professional Services Consultant, Splunk",Developing,Breakout Sessions
155,17,Affordable Security: Making the Most of Free Tools and Data With Splunk,"This presentation covers integrating the vFeed project into Splunk to enrich vulnerability data, identify vulnerabilities with known exploits, and prioritize vulnerability remediation. Deploy the jOVAL SCAP scanner with Splunk software and measure compliance with hundreds of hardening scripts available from the National Checklist Program Repository. Learn how to integrate the Collective Intelligence Framework into Splunk software and automate threat intelligence lookups for IPs, domain names, URLs and file hashes.
Attendees will see how ARP data from network switches can be easily ingested and used to launch dynamic vulnerability scans with tools like Nessus, Qualys or OpenVAS. Honeypots are one of the most under-utilized tools by security professionals. Splunk software can be used to easily deploy a distributed network of honeypots. The presentation concludes with a discussion of using Argus and Splunk software for performing security analysis of network flows.",2015-09-24,2015-09-24 12:15,2015-09-24 13:00,Technology,319 (Level 3) ,Splunk Enterprise,Administrator;;Developer;;Operations Manager;;Security Analyst,Intermediate,Security Compliance and Anti-fraud;;Best Practices;;Customer Success Story,"Craig Merchant - Senior Security Architect, Oracle",Security Compliance and Anti-fraud,Breakout Sessions
146,16,Splunk as a Service at Rakuten,"Rakuten has many Internet services, including one of the biggest e-commerce sites in Japan for eReading, travel, as well as financial services. To support these services, there are many operational teams. We are providing ""Splunk as a Service"" (SPaaS) which is a big Splunk platform for all the teams so that they can use Splunk freely. In this session, we will show some challenging points for deploying SPaaS, such as best practice for managing cluster, operational improvement using Splunk's API, and tips for expanding the Splunk platform globally. In addition, we will introduce our real Splunk use cases. This part will cover what our problems in each team were, and how Splunk solved it.",2015-09-24,2015-09-24 11:15,2015-09-24 12:00,"Retail
Technology",114 (Level 1) ,Splunk Enterprise,Architect;;Administrator;;Operations Manager,Good for All Skill Levels,Customer Success Story;;Deploying Splunk,"Keisuke Noda - Data Store Platform Administrator, Rakuten, Inc.;;Takeshi Suzuki - Security Operations Group Manager, Rakuten, Inc.",Deploying,Breakout Sessions
132,15,Splunk for DevOps,"DevOps is a growing need among organizations to monitor the health of rapid development and integration across multiple initiatives using agile development. The DevOps platform implemented in Splunk provides the capability to seamlessly onboard any agile project by setting up data from multiple sources like source control, a staging server where continuous builds run, and the logs from integration points, such as a database, MQ and external API call. The DevOps platform provides daily status on the progress of any agile initiative to provide useful insights for identifying improvement opportunities. The dashboards and automated reports reduce the defect injection rates by up to 70% in the release process, as well as reduce the manual efforts to match reports.",2015-09-24,2015-09-24 10:00,2015-09-24 10:45,Technology,111-112 (Level 1) ,Splunk Enterprise,Developer;;Operations Manager;;Administrator,Advanced,Application Delivery;;Big Data;;Business Analytics;;IT Operations;;Log Management;;Best Practices;;Customer Success Story,"Balaji Venkatachari - Sr Technology Architect, Infosys Ltd",Application Delivery,Breakout Sessions
159,18,Driving Efficiency With Splunk Cloud at the Busiest Single Runway Airport in the World,"Discover how Gatwick Airport uses Splunk Cloud to gain a real-time view of the performance of  terminals and the airfield, ensuring a high degree of efficiency for our record-breaking 925 daily flights and 38 million annual passengers?all off one strip of Tarmac. This session covers:
1 ? How we combine historical fact with ""in the moment"" data and events to predict success or failure, enabling the operation to prevent issues before they occur
2 ? How the performance dashboards we developed help us support other organisations (e.g., airlines and ground handlers) to improve their performance
3 ? How we moved from ""how did we do?"" to ""how are we doing?"" and are on the edge of answering ""How will we do?""
4 ? Plans for the future: tracking travel disruption, predicting passenger flow and getting real-time feedback via social media monitoring 
5 ? Why a cloud solution gives us the agility and scalability to achieve what we need.",2015-09-24,2015-09-24 13:15,2015-09-24 14:00,Travel and Transportation,114 (Level 1) ,Splunk Cloud,Administrator;;Developer;;Operations Manager,Good for All Skill Levels,Business Analytics;;Cloud Solutions;;IT Operations;;Customer Success Story,"Kendrick Tugwell - Lead IT Development Specialist, Gatwick Airport;;Joe Hardstaff - Business Systems Design Authority, Gatwick Airport",Cloud,Breakout Sessions
110,18,Sierra-Cedar's Best Practices for Building a Security Operations Center ,"Sierra-Cedar, Inc. delivers industry-focused client success by providing consulting, technical, and managed services for the deployment, management, and optimization of next-generation applications and technology. They have complemented the Splunk App for Enterprise Security with the Splunk App for Stream to assist with the detection of malicious activity. The wire data that is captured from the Splunk App for Stream provides additional insight into network traffic that was previously not being captured.
This session will discuss Sierra-Cedar's current deployment, strategic directions, and how they are using the Splunk App for Enterprise Security with the Splunk App for Stream. The speaker will discuss and demonstrate how Sierra-Cedar provides solutions to meet the needs of the Security team, IT operations, and their clients.",2015-09-24,2015-09-24 13:15,2015-09-24 14:00,Technology,118 (Level 1) ,Splunk Enterprise;;Splunk App for Enterprise Security;;Splunk App for Stream,Administrator;;Operations Manager;;Security Analyst;;CISO,Good for All Skill Levels,IT Operations;;Security Compliance and Anti-fraud;;Best Practices;;Customer Success Story;;Deploying Splunk,"Robert Miller - Manager - Corporate Security, Sierra-Cedar, Inc.",Security Compliance and Anti-fraud,Breakout Sessions
145,16,"""I See What You're Doing Up There"" - How to Leverage SaaS Apps from Splunk to Gain Total Visibility into Your User Activity in the Cloud","There is a lot of valuable machine data in SaaS applications, but this data goes largely untapped.  What are your users doing in the cloud? How many documents are they sharing outside the company? Who is using what SaaS application? Are there any anomalies in their cloud access behavior? 
Wouldn't it be nice to gather this SaaS machine data and correlate it with other machine data already in your Splunk environment? Of course it would! In this session, we will cover methods to get SaaS machine data into Splunk, common use cases for SaaS machine data, and how to use Splunk App for Enterprise Security as an effective cloud security analytics solution for security use cases such as cloud user activity monitoring, cloud user behavior anomaly analysis, and data leakage and exfiltration. 
After leaving this session, you will have all the tools and frameworks you need to get started Splunking your enterprise's SaaS machine data and getting better operational insights.",2015-09-24,2015-09-24 11:15,2015-09-24 12:00,Unknown,114 (Level 1) ,Splunk Enterprise;;Splunk App for Enterprise Security;;Splunk Cloud,Operations Manager;;Developer;;Administrator;;Security Analyst,Intermediate,Cloud Solutions;;Security Compliance and Anti-fraud;;Log Management;;Application Delivery;;IT Operations,"Jason Conger - Practice Manager, Splunk;;Wissam Ali-Ahmad - Senior Security Solutions Architect, Splunk",Cloud,Breakout Sessions
135,15,Indiana University: Splunking Distributed Logs for IT Policy Alignment,"Over the last year, Indiana University has deployed an enterprise service utilizing Splunk in order to facilitate easier IT policy alignment for hundreds of IT departments across the eight Indiana University campuses. This discussion focuses on university IT culture, building a scalable enterprise-grade Splunk architecture, search head clustering, optimizing searches, customer onboarding, expansion of services through targeted custom app development, and everything in between. Join the team from Indiana University in a discussion about their journey.",2015-09-24,2015-09-24 10:00,2015-09-24 10:45,Higher Education,117 (Level 1) ,Splunk Enterprise,Administrator;;Architect;;Operations Manager;;Security Analyst,Good for All Skill Levels,IT Operations;;Log Management;;Security Compliance and Anti-fraud;;Customer Success Story;;Best Practices,"Allen Tucker - Manager, HELPnet Central Systems, Indiana University;;Kelly Zimmerman - Server Admin, Indiana University",IT Operations,Breakout Sessions
182,16,Cisco and Splunk: Under the Hood of Cisco IT,"""Always on"" is the new normal. Learn how Cisco IT uses Splunk software to gain deep operational visibility into applications, accelerate problem resolution and how the combination of Cisco UCS and Splunk software is driving better business outcomes. The session will also dig into considerations for future-proofing your infrastructure as analytics become pervasive across the organization.",2015-09-24,2015-09-24 11:15,2015-09-24 12:00,Technology,Unknown,Splunk Enterprise,Unknown,Good for All Skill Levels,Application Delivery;;Big Data;;IT Operations;;Customer Success Story,Unknown,IT Operations,Breakout Sessions
167,19,How Splunk Connects Business and IT at Swiss Bank PostFinance Ltd,"Find out how PostFinance, Switzerland's third-largest retail bank, grew from using Splunk for log management to providing machine data-based services to a wide audience, including business applications. The session will provide a short overview of the Splunk environment at PostFinance and then focus on two use cases: 1. Business Support: The application support team has moved from using database exports and excel to create their monthly reports, to being able to recognize possible fraud cases and create any report a manager asks for on the fly. 2. Fraud Detection: Our online security team uses Splunk to survey the biggest online banking portal in Switzerland and to react in real time against threats or possible attacks. To end the session, I will take a quick look at the key success factors for implementing Splunk at PostFinance.",2015-09-24,Unknown,2015-09-24 15:00,Financial Services,320 (Level 3) ,Splunk Enterprise,Administrator;;Architect;;Operations Manager;;Security Analyst;;Business Manager;;CIO,Good for All Skill Levels ,Business Analytics;;IT Operations;;Security Compliance and Anti-fraud;;Best Practices;;Customer Success Story,"Patrick Hofmann - Head of IT Infrastructure, PostFinance Ltd",Using Splunk/Search Language,Breakout Sessions
158,18,Splunking the Swarm at Graphmasters,"Graphmasters has created a collaborative routing engine for its app Nunav. Its Swarm optimization algorithm distributes vehicles ideally on the streets, finds the optimal route for individuals and can potentially double traffic flows.
As part of this solution, the team at Graphmasters uses Splunk Enterprise for real-time and historical data analytics of vehicle data, like location and speed. In this session, we will show live traffic feeds and demonstrate how cars on the road are turned into machine data sources. We will explain how you can design advanced filtering and prediction techniques in Splunk software and validate with complementary prototyping tools. Finally, we will demonstrate how Splunk software is used for system performance analytics and auditing to perform QA of routing strategies.",2015-09-24,2015-09-24 13:15,2015-09-24 14:00,"Manufacturing
Technology",113 (Level 1) ,Splunk Enterprise,Developer,Good for All Skill Levels ,Big Data;;IoT and Industrial Data;;Customer Success Story;;Data Science,"Sebastian Heise - COO and Founder, Graphmasters GmbH",Internet of Things,Breakout Sessions
188,17,Calculating the Total Cost of a Splunk Deployment,"When calculating the total investment made in any enterprise deployment, the cost of hardware and software are typically the easiest to understand. Costs related to solution planning, maintenance and support might be overlooked and can have significant impact on operating budgets. To avoid this situation, you need to incorporate direct and indirect costs--the total cost of ownership (TCO) includes hardware and software and cost of procurement, provisioning, vulnerability assessment, system maintenance, labor, and training. 
This presentation will provide a best practice to planning the totality of costs and present data collected from several mid to large size Splunk deployments to illustrate best practices.
",2015-09-24,2015-09-24 12:15,2015-09-24 13:00,Unknown,Unknown,Splunk Enterprise,Administrator;;Operations Manager,Good for All Skill Levels,Unknown,"Bob Fox - VP of Technical Services, SBOX",Deploying,Breakout Sessions
148,16,Managed Threat Intelligence in the Splunk App for Enterprise Security,"Proper use of Threat Intelligence, in many cases, has a direct correlation with the amount of time it takes for your team to detect, respond to, and remediate a threat. In addition, threat intelligence providers often deliver very little, if any, context or attribution around their Intel. This makes it difficult for an analyst to determine if a match against a given feed is associated with a commodity or APT-based threat. The inability to make this distinction alone can have serious implications to a company. This discussion will focus on the role Threat Intelligence plays in an active breach investigation and how the new Threat Intelligence Framework in Splunk App for Enterprise Security can be used to fulfill this role. The audience will be walked through a simulated breach and shown how intel gleaned from compromised systems is used to assist in investigations. Attendees can expect to gain a rudimentary understanding of how they can begin managing their own threat intel for use in active or future investigations. This session repeats in breakout 9.",2015-09-24,2015-09-24 11:15,2015-09-24 12:00,Unknown,118 (Level 1) ,Splunk App for Enterprise Security,Security Analyst,Intermediate,Security Compliance and Anti-fraud,"Brian Luger - Software Engineer, Security, Splunk",Security Compliance and Anti-fraud,Breakout Sessions
134,15,Optimizing Splunk Knowledge Objects - A Tale of Unintended Consequences,"As your Splunk Deployment grows, so does your world of Knowledge Objects - lookups, tags, eventtypes, and many more. Are you maintaining a large set of systems sending heterogeneous data into Splunk with a CIM-style layer on top to normalize accessing that data? Have you noticed a creeping slowdown of your search startup, or at least felt as if things sometimes didn't move along as fast as you'd like them to? 
In this session, we will explore common offenders, and what can trigger an explosion of complexity for Splunk to deal with (or not). Using examples derived from real-world experience, you will learn how small changes made at one end of your search-time configuration can have great impacts on the other. To accomplish this, we will peek under the hood of how Splunk translates higher-level search constructs into normalized searches, and how you can use this knowledge to your advantage.",2015-09-24,2015-09-24 10:00,2015-09-24 10:45,Technology,111-112 (Level 1) ,Splunk Enterprise,Architect;;Administrator;;Operations Manager,Advanced,Customer Success Story,"Martin Mueller - Consultant, Consist Software Solutions GmbH",Deploying,Breakout Sessions
150,16,Developing at the Speed of Splunk,"Splunk has grown from a handful of engineers to an products organization with several hundred people, from Dev and QA to Product Management and UX. We have gone from a single product to several, and from on-prem to the cloud. Despite all this, we've managed to stay nimble, shipping more in less time and more frequently.
In this talk, we will go over how Splunk does engineering, from how we plan a release, to what tools we use to keep everything on track and stable, and what we've built to help us along the way. 
We will also cover how we use Splunk ourselves to do engineering. We use a variety of tools such as JIRA, Jenkins, Git, Perforce, Bamboo and others, and Splunk is the glue that lets us tie it all together.
This is an opportunity to look behind the curtain and see how we're able to provide our customers with the improvements and innovations in the product they love. You can also learn how you can further use Splunk internally to help your engineering organization move faster.",2015-09-24,2015-09-24 11:15,2015-09-24 12:00,Unknown,301-302 (Level 3) ,Splunk Enterprise,Developer,Good for All Skill Levels,Application Delivery;;Log Management;;IT Operations;;Developing,"Itay Neeman - Sr. Engineering Manager, Splunk;;Kurt Chase - Director, Release Engineering, Splunk",Developing,Breakout Sessions
141,15,The Latest in Splunk Add-Ons--What You Should Know,"Over the last 12 months Splunk has created or updated over 30 new Add-Ons, covering a broad range of data sources and providing additional out-of-the-box value to users. This session will highlight what you should know about these new products, including the latest best practices and methodology behind their development. The session will then go deep on the latest
features and best-practice use cases of DB Connect ? the preferred method for connecting Splunk to relational database content.",2015-09-24,2015-09-24 10:00,2015-09-24 10:45,Unknown,319 (Level 3) ,Splunk Enterprise;;Splunk Cloud,Administrator;;Architect;;Developer;;Operations Manager;;Security Analyst;;Business Manager;;CIO;;CTO;;CISO,Good for All Skill Levels,Best Practices;;Getting Data In,"Jack Coates - Director, Product Management, Splunk",Splunk Enterprise/What's New?,Breakout Sessions
161,18,Event-Driven SDN with Splunk and Cisco's Open SDN Controller,"Software Defined Networking (SDN) can be a powerful tool to help your network adapt to changing conditions. However, deploying SDN does not necessitate sweeping changes to your networking infrastructure or require new skillsets for your staff. 
Splunk already provides a powerful Operational Intelligence and analytics platform. When combined with a controller, it becomes a powerful SDN application that automatically acts on this intelligence to provide greater operational flexibility and security. 
This session presents and demonstrates a system using Splunk and the Cisco Open SDN Controller for steering large data flows around firewalls and other devices that could disturb their performance while actively blocking threats.",2015-09-24,2015-09-24 13:15,2015-09-24 14:00,Technology,117 (Level 1) ,Splunk Enterprise,Operations Manager;;Administrator,Intermediate,Security Compliance and Anti-fraud;;Customer Success Story,"Steven Carter - Architect, Cisco Systems;;Friea Berg - Alliances Manager, Splunk",IT Operations,Breakout Sessions
80B,16,Enhancing Dashboards with JavaScript!,"Sure, SimpleXML is getting better and better and more interactive with each Splunk release, but JavaScript is the king of dynamic contents and interactivity! Wish a dashboard could display this and that when you hover there or click here? JavaScript to the rescue! Repeats in Breakout 9.",2015-09-24,2015-09-24 11:15,2015-09-24 12:00,Unknown,Unknown,Splunk Enterprise,Administrator;;Developer;;Operations Manager;;Security Analyst,Intermediate,Visualization;;Best Practices,"Satoshi Kawasaki - Professional Services Consultant, Splunk",Using Splunk/Search Language,Breakout Sessions
137,15,"Security Operations, Data Analytics and the 20 Critical Security Controls","According to the Verizon Data Breach Investigation Report and Mandiant's M-Trends report, it takes organizations over 200 days to detect a breach. In most cases, the breach was disclosed by a third party. This session focuses on ways to improve cyber security attack detection through the integration of the 20 Critical Security Controls into the daily activities of security operation centers.  
Attendees will be presented with alternative methods to reactionary security monitoring and cyber-attack hunting techniques.",2015-09-24,2015-09-24 10:00,2015-09-24 10:45,Technology,119 (Level 1) ,Splunk Enterprise,Security Analyst;;CISO,Intermediate,Security Compliance and Anti-fraud;;Best Practices;;Customer Success Story,"Jason Lawrence - Manager, Ernst and Young",Security Compliance and Anti-fraud,Breakout Sessions
160,18,Notes on Optimizing Splunk Performance,A session on Splunk indexing and search performance analysis under various conditions and environments (physical vs. virtual). Focus will be around debunking common misconceptions and presenting best practices.,2015-09-24,2015-09-24 13:15,2015-09-24 14:00,Unknown,115-116 (Level 1) ,Splunk Enterprise,Architect;;Administrator,Advanced,Unknown,"Dritan Bitincka - Principal Solutions Architect, Splunk",Deploying,Breakout Sessions
183,16,Continuous Advanced Threat Monitoring and Mitigation ? From the Edge to the Network,"Threat research from Verizon?s Data Breach Investigation Report, the industry?s most comprehensive report in the past decade, suggests that 75%+ of all attacks could be mitigated through simple to intermediate controls, with many advanced attacks detectable by looking for behavioral changes. But attacks cannot be mitigated by simply deploying smart security devices, relying upon a few sources of threat intelligence or traditional SIEM tools alone. What?s needed is a combination of real time anomaly-based detection and analytics along with globally orchestrated mitigation, and incident response, powered by the best possible threat intelligence.       
This joint presentation and demo highlights how Verizon leverages Fortinet and Splunk for a breakthrough in the way security is envisioned and delivered: Verizon?s global backbone, MSS practice and investigation team provides unique access and insight into the cyberscape.  Fortinet?s best-in-class security technology provides the instrumentation and threat intelligence for advanced gateway solutions from the customer edge to the core of Verizon?s global backbone. Splunk?s best-in-class analytics rapidly correlates vast amounts of data into meaningful alerts.  These three key elements come together as an unparalleled continuous monitoring and advanced threat mitigation system.
",2015-09-24,2015-09-24 11:15,2015-09-24 12:00,Unknown,Unknown,Splunk Enterprise,Security Analyst,Good for All Skill Levels,Security Compliance and Anti-fraud,"Jonathan Nguyen-Duy - CTO, Global Security Services, Verizon ;;Saurabh Bhatnagar - Sr. Director, Corporate Development and Strategic Alliances, Fortinet",Security Compliance and Anti-fraud,Breakout Sessions
163,15,Delivering High-Level Analytics Reports,"You're the Splunk champion. You can onboard any data source, from logs to wire data to RDBMS. You can search and correlate any sourcetypes, showing how IT failures and customer activity impact revenue growth. You're a cool viz wizard, and can implement everything from bubble charts to maps to D3 custom viz. 
Your boss loves it, and keeps buying you more Splunk. Now she wants you to build a dashboard for her boss. And her boss's boss. And her boss's boss's boss, the CEO. Where do you start?
In this talk, we'll walk you through the basics of building high-level analytics reports. We'll illustrate different types of analytics personas and help you tailor your reports to their data consumption preferences. We'll talk about leading with the right questions, like ""how does this impact revenue and costs?"" instead of ""show me a count by sourcetype."" We'll share useful tips and tricks like up/down indicators to illustrate trends, and how to use predictive analytics for knockout forecasts.",2015-09-24,2015-09-24 10:00,2015-09-24 10:45,Unknown,115-116 (Level 1) ,Splunk Enterprise,Administrator;;Architect;;Developer;;Operations Manager;;Security Analyst;;Business Manager;;CIO;;CTO;;CISO,Intermediate,Business Analytics;;Big Data,"Cody Harris - Solutions Engineer, Splunk;;Tom LaGatta - Data Scientist, Splunk",Business Analytics,Breakout Sessions
